Country,Parent,Capacity (GW),Type
Others,3.20384,Nepal,Hydropower
Others,0.16385,Nepal,Utility-Scale Solar
Others,1.6322,Netherlands,Bioenergy
Others,3.5,Netherlands,Coal
Others,0.515,Netherlands,Nuclear
Others,14.5505,Netherlands,Oil/Gas
Others,6.4617495,Netherlands,Utility-Scale Solar
Others,11.1241,Netherlands,Wind
Others,0.37027,New Caledonia,Coal
Others,0.068,New Caledonia,Hydropower
Others,0.299,New Caledonia,Oil/Gas
Others,0.11,New Caledonia,Utility-Scale Solar
Others,0.0585,New Caledonia,Wind
Others,0.109,New Zealand,Bioenergy
Others,0.75,New Zealand,Coal
Others,1.4227,New Zealand,Geothermal
Others,5.125,New Zealand,Hydropower
Others,1.6031,New Zealand,Oil/Gas
Others,0.272675,New Zealand,Utility-Scale Solar
Others,1.233,New Zealand,Wind
Others,0.151,Nicaragua,Bioenergy
Others,0.1586,Nicaragua,Geothermal
Others,0.104,Nicaragua,Hydropower
Others,0.30748000000000003,Nicaragua,Oil/Gas
Others,0.057433500000000005,Nicaragua,Utility-Scale Solar
Others,0.189,Nicaragua,Wind
Others,0.03,Niger,Coal
Others,0.237,Niger,Oil/Gas
Others,0.0535,Niger,Utility-Scale Solar
Others,0.3445,Nigeria,Coal
Others,2.848,Nigeria,Hydropower
Others,10.706374,Nigeria,Oil/Gas
Others,0.146588,Nigeria,Utility-Scale Solar
Others,0.01,Nigeria,Wind
Others,0.0024,Norfolk Island,Wind
Others,3.25,North Korea,Coal
Others,3.267,North Korea,Hydropower
Others,0.005,North Korea,Nuclear
Others,0.824,North Macedonia,Coal
Others,0.524,North Macedonia,Hydropower
Others,0.418,North Macedonia,Oil/Gas
Others,0.43551999999999996,North Macedonia,Utility-Scale Solar
Others,0.073,North Macedonia,Wind
Others,28.83346,Norway,Hydropower
Others,0.523,Norway,Oil/Gas
Others,0.032966,Norway,Utility-Scale Solar
Others,5.637,Norway,Wind
Others,45.607456,OECD,Bioenergy
Others,405.1491281,OECD,Coal
Others,10.67976,OECD,Geothermal
Others,460.1088,OECD,Hydropower
Others,267.569,OECD,Nuclear
Others,1068.7152011,OECD,Oil/Gas
Others,395.07698589,OECD,Utility-Scale Solar
Others,457.541806,OECD,Wind
Others,14.0780154,Oman,Oil/Gas
Others,3.12622,Oman,Utility-Scale Solar
Others,0.05,Oman,Wind
Others,0.4627,Pakistan,Bioenergy
Others,7.30584,Pakistan,Coal
Others,11.46,Pakistan,Hydropower
Others,3.53,Pakistan,Nuclear
Others,20.790775,Pakistan,Oil/Gas
Others,1.2962749999999998,Pakistan,Utility-Scale Solar
Others,1.941,Pakistan,Wind
Others,0.013311,Palau,Utility-Scale Solar
Others,0.14,Palestine,Oil/Gas
Others,0.036340000000000004,Palestine,Utility-Scale Solar
Others,0.153,Panama,Coal
Others,1.529,Panama,Hydropower
Others,1.284755,Panama,Oil/Gas
