Country,Type,Age Category,Capacity (MW),Capacity %
Austria,Bioenergy,30-39 years,0.0,0.0
Austria,Bioenergy,40-49 years,0.0,0.0
Austria,Bioenergy,50+ years,0.0,0.0
Azerbaijan,Oil and gas,0-9 years,2.0643000000000002,23.61791222369686
Azerbaijan,Oil and gas,10-19 years,2.1696,24.8226625783717
Azerbaijan,Oil and gas,20-29 years,0.507,5.800649855841838
Azerbaijan,Oil and gas,30-39 years,2.4,27.45869754244657
Azerbaijan,Oil and gas,40-49 years,0.0,0.0
Azerbaijan,Oil and gas,50+ years,0.0,0.0
Azerbaijan,Utility-scale solar,0-9 years,0.2841,3.2504233215871134
Azerbaijan,Utility-scale solar,10-19 years,0.0174,0.19907555718273762
Azerbaijan,Utility-scale solar,20-29 years,0.0,0.0
Azerbaijan,Utility-scale solar,30-39 years,0.0,0.0
Azerbaijan,Utility-scale solar,40-49 years,0.0,0.0
Azerbaijan,Utility-scale solar,50+ years,0.0,0.0
Azerbaijan,Wind,0-9 years,0.05,0.5720561988009703
Azerbaijan,Wind,10-19 years,0.0,0.0
Azerbaijan,Wind,20-29 years,0.0,0.0
Azerbaijan,Wind,30-39 years,0.0,0.0
Azerbaijan,Wind,40-49 years,0.0,0.0
Azerbaijan,Wind,50+ years,0.0,0.0
Azerbaijan,Hydropower,0-9 years,0.182,2.0822845636355316
Azerbaijan,Hydropower,10-19 years,0.025,0.2860280994004851
Azerbaijan,Hydropower,20-29 years,0.15,1.7161685964029105
Azerbaijan,Hydropower,30-39 years,0.0,0.0
Azerbaijan,Hydropower,40-49 years,0.43,4.919683309688344
Azerbaijan,Hydropower,50+ years,0.424,4.851036565832228
Azerbaijan,Bioenergy,0-9 years,0.0,0.0
Azerbaijan,Bioenergy,10-19 years,0.037,0.42332158711271795
Azerbaijan,Bioenergy,20-29 years,0.0,0.0
Azerbaijan,Bioenergy,30-39 years,0.0,0.0
Azerbaijan,Bioenergy,40-49 years,0.0,0.0
Azerbaijan,Bioenergy,50+ years,0.0,0.0
BRICS,Coal,0-9 years,548.5318000000001,12.99662480848694
BRICS,Coal,10-19 years,750.8855,17.791087258082612
BRICS,Coal,20-29 years,190.9129,4.523390134173052
BRICS,Coal,30-39 years,83.4632,1.9775332910794
BRICS,Coal,40-49 years,35.784699999999994,0.8478639156093823
BRICS,Coal,50+ years,21.6771,0.5136058395083971
BRICS,Oil and gas,0-9 years,212.10523999999998,5.0255103244589945
BRICS,Oil and gas,10-19 years,165.26548,3.9157136146974567
BRICS,Oil and gas,20-29 years,60.954,1.4442121105403787
BRICS,Oil and gas,30-39 years,42.1779,0.9993410436913254
BRICS,Oil and gas,40-49 years,33.5698,0.7953852365458938
BRICS,Oil and gas,50+ years,30.738400000000002,0.7282995297869602
BRICS,Utility-scale solar,0-9 years,635.0064024999999,15.04550869116347
BRICS,Utility-scale solar,10-19 years,37.2595495,0.8828082262227042
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,451.4527,10.696483523249539
BRICS,Wind,10-19 years,135.9821,3.2218885657497918
BRICS,Wind,20-29 years,0.718,0.01701191546687653
BRICS,Wind,30-39 years,0.025,0.0005923368895151994
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,154.635,3.6638405964073146
BRICS,Hydropower,10-19 years,213.783,5.065262290049115
BRICS,Hydropower,20-29 years,67.234,1.5930071371865968
BRICS,Hydropower,30-39 years,39.732,0.9413891717687162
BRICS,Hydropower,40-49 years,65.342,1.5481790813880865
BRICS,Hydropower,50+ years,75.038,1.7779110206176614
BRICS,Nuclear,0-9 years,49.898,1.1822570445211769
BRICS,Nuclear,10-19 years,25.834,0.6120972481494266
BRICS,Nuclear,20-29 years,9.547,0.22620161136806438
BRICS,Nuclear,30-39 years,10.44,0.2473598850615473
