Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
Canada,Pre-construction,26.837984432989693,7.438,78.29967505516447,21.70032494483551
Canada,Construction,1.315745587628866,0.47,73.68046135709221,26.31953864290778
Canada,Operating,119.39803659793814,33.0439,78.32361570743328,21.676384292566734
Cayman Islands,Announced,0.0,0.0,0.0,0.0
Cayman Islands,Pre-construction,0.0,0.0,0.0,0.0
Cayman Islands,Construction,0.0,0.0,0.0,0.0
Cayman Islands,Operating,0.004900000000000001,0.15369999999999998,3.089533417402271,96.91046658259773
Central African Republic,Announced,0.01305,0.0,100.0,0.0
Central African Republic,Pre-construction,0.195,0.0,100.0,0.0
Central African Republic,Construction,0.04513341968911917,0.0,100.0,0.0
Central African Republic,Operating,0.042511373056994824,0.05,45.95259118119912,54.04740881880088
Chad,Announced,0.3910673575129533,0.09,81.29160114598368,18.70839885401633
Chad,Pre-construction,0.0,0.0,0.0,0.0
Chad,Construction,0.056100000000000004,0.0,100.0,0.0
Chad,Operating,0.11192681347150259,0.089,55.70526478656227,44.294735213437725
Chile,Announced,17.994247786666666,0.0,100.0,0.0
Chile,Pre-construction,39.99225442666667,0.1998,99.5028868196709,0.4971131803290863
Chile,Construction,3.1603860333333333,0.5774,84.55235278716373,15.44764721283627
Chile,Operating,26.853746233333332,10.242799999999999,72.38880424184539,27.611195758154622
China,Announced,713.5149387962662,279.959,71.82019688013057,28.17980311986944
China,Pre-construction,764.2045990517452,173.786,81.4725222005756,18.527477799424396
China,Construction,737.2338611872971,235.02960000000002,75.82655222762466,24.17344777237534
China,Operating,1584.9871211298703,1443.2788400000002,52.339759501787576,47.660240498212424
Colombia,Announced,11.330624074074073,4.011,73.85544072365703,26.144559276342978
Colombia,Pre-construction,24.584691944444444,0.0,100.0,0.0
Colombia,Construction,2.2597685370370373,0.0,100.0,0.0
Colombia,Operating,15.002098648148149,5.972,71.52678596499649,28.473214035003508
Cook Islands,Announced,0.0,0.0,0.0,0.0
Cook Islands,Pre-construction,0.0,0.0,0.0,0.0
Cook Islands,Construction,0.0,0.0,0.0,0.0
Cook Islands,Operating,0.0010298697318007663,0.0,100.0,0.0
Costa Rica,Announced,0.24938703703703705,0.0,100.0,0.0
Costa Rica,Pre-construction,0.135,0.0,100.0,0.0
Costa Rica,Construction,0.055,0.0,100.0,0.0
Costa Rica,Operating,2.5477,0.5467000000000001,82.33260082730092,17.66739917269907
Croatia,Announced,1.6914472379572618,0.0,100.0,0.0
Croatia,Pre-construction,2.1689720101412533,0.0,100.0,0.0
Croatia,Construction,0.20506742122419414,0.0,100.0,0.0
Croatia,Operating,3.3617,1.6378,67.24072407240725,32.75927592759276
Cuba,Announced,1.4146889814814816,0.2,87.6137137062458,12.386286293754198
Cuba,Pre-construction,0.17934685185185184,0.0,100.0,0.0
Cuba,Construction,0.1961070740740741,0.0,100.0,0.0
Cuba,Operating,0.9013977222222223,1.242,42.054617903002864,57.945382096997136
Curaçao,Announced,0.0,0.0,0.0,0.0
Curaçao,Pre-construction,0.0,0.0,0.0,0.0
Curaçao,Construction,0.0,0.0,0.0,0.0
Curaçao,Operating,0.0695,0.0,100.0,0.0
Cyprus,Announced,0.0,0.0,0.0,0.0
Cyprus,Pre-construction,0.14964,0.185,44.716710494860145,55.283289505139855
Cyprus,Construction,0.016,0.42,3.669724770642202,96.3302752293578
Cyprus,Operating,0.5519,1.853,22.94897916753295,77.05102083246705
Czech Republic,Announced,2.1,1.9,52.5,47.5
Czech Republic,Pre-construction,3.612,1.173,75.4858934169279,24.514106583072103
Czech Republic,Construction,0.1844,0.109,62.84935241990457,37.15064758009544
Czech Republic,Operating,8.99331,8.7326,50.735392428371796,49.2646075716282
Côte d'Ivoire,Announced,0.6991655699481866,0.0,100.0,0.0
Côte d'Ivoire,Pre-construction,0.48951999999999996,0.372,56.82050329649921,43.17949670350079
Côte d'Ivoire,Construction,0.29367341968911914,0.0,100.0,0.0
Côte d'Ivoire,Operating,0.99906,1.669,37.44518489089451,62.55481510910549
DR Congo,Announced,1.568447279792746,0.24,86.72894683291487,13.271053167085123
DR Congo,Pre-construction,5.83871,0.0,100.0,0.0
DR Congo,Construction,0.3722936787564767,0.0,100.0,0.0
DR Congo,Operating,2.917842694300518,0.0,100.0,0.0
Denmark,Announced,4.055343024691358,0.0,100.0,0.0
Denmark,Pre-construction,24.402806567901237,0.0,100.0,0.0
Denmark,Construction,0.0,0.0,0.0,0.0
Denmark,Operating,9.971896901234567,1.6142,86.06778439917935,13.93221560082065
Djibouti,Announced,0.09756670984455958,0.05,66.11701917548487,33.88298082451513
Djibouti,Pre-construction,9.112783937823835,0.0,100.0,0.0
Djibouti,Construction,0.0,0.0,0.0,0.0
Djibouti,Operating,0.20852694300518135,0.108,65.87968184489365,34.12031815510635
Dominican Republic,Announced,2.430867125,0.145,94.37082764896113,5.629172351038876
Dominican Republic,Pre-construction,2.259308,0.0,100.0,0.0
Dominican Republic,Construction,0.48760000000000003,1.942,20.06914718472177,79.93085281527824
Dominican Republic,Operating,2.2353874583333333,4.0571,35.524702641607036,64.47529735839296
Ecuador,Announced,4.446722222222222,0.587,88.33864933172934,11.661350668270662
Ecuador,Pre-construction,7.032473722222222,0.53,92.99171118515622,7.00828881484378
Ecuador,Construction,0.0,0.24125,0.0,100.0
Ecuador,Operating,5.517234740740741,1.6018,77.49975862832589,22.500241371674097
Egypt,Announced,28.368094736842103,0.125,99.56129721550263,0.4387027844973704
Egypt,Pre-construction,49.47479789473684,0.0,100.0,0.0
Egypt,Construction,23.90301884210526,2.25,91.39678668231755,8.603213317682448
Egypt,Operating,9.259653684210527,54.4521,14.533666315490725,85.46633368450928
El Salvador,Announced,0.1,0.0,100.0,0.0
El Salvador,Pre-construction,0.0,0.0,0.0,0.0
El Salvador,Construction,0.08952418518518519,0.0,100.0,0.0
El Salvador,Operating,1.868805925925926,0.9295,66.78347455193129,33.21652544806871
Equatorial Guinea,Announced,0.0,0.0,0.0,0.0
Equatorial Guinea,Pre-construction,0.0,0.0,0.0,0.0
Equatorial Guinea,Construction,0.2,0.0,100.0,0.0
Equatorial Guinea,Operating,0.12451334196891192,0.218,36.35284431641595,63.64715568358405
Eritrea,Announced,0.010832020725388601,0.0,100.0,0.0
Eritrea,Pre-construction,0.0261,0.0,100.0,0.0
Eritrea,Construction,0.0,0.0,0.0,0.0
Eritrea,Operating,0.0228,0.168,11.949685534591193,88.0503144654088
Estonia,Announced,4.869,0.2,96.05444860919313,3.945551390806865
Estonia,Pre-construction,8.7451,0.1,98.86943053215906,1.1305694678409515
