Country,Type,Age Category,Capacity (MW),Capacity %
Bangladesh,Coal,10-19 years,0.125,0.4682000054535937
Bangladesh,Coal,20-29 years,0.0,0.0
Bangladesh,Coal,30-39 years,0.0,0.0
Bangladesh,Coal,40-49 years,0.0,0.0
Bangladesh,Coal,50+ years,0.0,0.0
Bangladesh,Oil and gas,0-9 years,12.7479,47.74853479617494
Bangladesh,Oil and gas,10-19 years,5.3186,19.921348392043868
Bangladesh,Oil and gas,20-29 years,1.554,5.820662467799076
Bangladesh,Oil and gas,30-39 years,0.607,2.273579226482651
Bangladesh,Oil and gas,40-49 years,0.0,0.0
Bangladesh,Oil and gas,50+ years,0.0,0.0
Bangladesh,Utility-scale solar,0-9 years,0.888492,3.327935673963795
Bangladesh,Utility-scale solar,10-19 years,0.0,0.0
Bangladesh,Utility-scale solar,20-29 years,0.0,0.0
Bangladesh,Utility-scale solar,30-39 years,0.0,0.0
Bangladesh,Utility-scale solar,40-49 years,0.0,0.0
Bangladesh,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Wind,0-9 years,0.06,0.224736002617725
Bangladesh,Wind,10-19 years,0.0,0.0
Bangladesh,Wind,20-29 years,0.0,0.0
Bangladesh,Wind,30-39 years,0.0,0.0
Bangladesh,Wind,40-49 years,0.0,0.0
Bangladesh,Wind,50+ years,0.0,0.0
Bangladesh,Hydropower,0-9 years,0.0,0.0
Bangladesh,Hydropower,10-19 years,0.0,0.0
Bangladesh,Hydropower,20-29 years,0.0,0.0
Bangladesh,Hydropower,30-39 years,0.0,0.0
Bangladesh,Hydropower,40-49 years,0.0,0.0
Bangladesh,Hydropower,50+ years,0.23,0.8614880100346124
Bangladesh,Bioenergy,0-9 years,0.042,0.1573152018324075
Bangladesh,Bioenergy,10-19 years,0.0,0.0
Bangladesh,Bioenergy,20-29 years,0.0,0.0
Bangladesh,Bioenergy,30-39 years,0.0,0.0
Bangladesh,Bioenergy,40-49 years,0.0,0.0
Bangladesh,Bioenergy,50+ years,0.0,0.0
Barbados,Oil and gas,0-9 years,0.0,0.0
Barbados,Oil and gas,10-19 years,0.0,0.0
Barbados,Oil and gas,20-29 years,0.06,45.41635442922997
Barbados,Oil and gas,30-39 years,0.0,0.0
Barbados,Oil and gas,40-49 years,0.05,37.846962024358305
Barbados,Oil and gas,50+ years,0.0,0.0
Barbados,Utility-scale solar,0-9 years,0.021111,15.979744305924564
Barbados,Utility-scale solar,10-19 years,0.0,0.0
Barbados,Utility-scale solar,20-29 years,0.0,0.0
